pickle_file,gen0_best_score,overall_best_score,difference,best_gen
Small_test/Small_test_gen_data.pkl,37.09565754721866,41.698159869849086,4.6025023226304285,14
Small_test_10/Small_test_10_gen_data.pkl,38.71947458221523,41.14002210584084,2.420547523625615,16
Small_test_2/Small_test_2_gen_data.pkl,38.74207046296448,46.64759081706411,7.905520354099636,14
Small_test_3/Small_test_3_gen_data.pkl,39.07405068915134,42.23635916537188,3.162308476220538,7
Small_test_4/Small_test_4_gen_data.pkl,37.86994483815602,41.4958002889127,3.6258554507566743,15
Small_test_5/Small_test_5_gen_data.pkl,37.70955128618451,42.548439699722834,4.838888413538328,9
Small_test_6/Small_test_6_gen_data.pkl,37.74795592224317,43.58430215075535,5.836346228512177,10
Small_test_7/Small_test_7_gen_data.pkl,37.36488503674651,40.85344691272495,3.4885618759784407,18
Small_test_8/Small_test_8_gen_data.pkl,39.02446383678152,44.605774829497555,5.581310992716034,6
Small_test_9/Small_test_9_gen_data.pkl,39.62667732184369,42.23944190901033,2.6127645871666445,19
