Postal_code,Population
" ,"" "",""1306 København K (København Municipality)"",658"
" ,"" "",""1307 København K (København Municipality)"",1467"
" ,"" "",""1308 København K (København Municipality)"",275"
" ,"" "",""1309 København K (København Municipality)"",161"
" ,"" "",""1310 København K (København Municipality)"",696"
" ,"" "",""1311 København K (København Municipality)"",368"
" ,"" "",""1312 København K (København Municipality)"",23"
" ,"" "",""1313 København K (København Municipality)"",261"
" ,"" "",""1314 København K (København Municipality)"",102"
" ,"" "",""1315 København K (København Municipality)"",50"
" ,"" "",""1316 København K (København Municipality)"",237"
" ,"" "",""1317 København K (København Municipality)"",44"
" ,"" "",""1318 København K (København Municipality)"",51"
" ,"" "",""1319 København K (København Municipality)"",268"
" ,"" "",""1320 København K (København Municipality)"",80"
" ,"" "",""1321 København K (København Municipality)"",25"
" ,"" "",""1322 København K (København Municipality)"",141"
" ,"" "",""1323 København K (København Municipality)"",40"
" ,"" "",""1324 København K (København Municipality)"",128"
" ,"" "",""1325 København K (København Municipality)"",117"
" ,"" "",""1326 København K (København Municipality)"",42"
" ,"" "",""1327 København K (København Municipality)"",28"
" ,"" "",""1328 København K (København Municipality)"",63"
" ,"" "",""1329 København K (København Municipality)"",22"
" ,"" "",""1350 København K (København Municipality)"",312"
" ,"" "",""1352 København K (København Municipality)"",501"
" ,"" "",""1353 København K (København Municipality)"",82"
" ,"" "",""1354 København K (København Municipality)"",519"
" ,"" "",""1355 København K (København Municipality)"",420"
" ,"" "",""1356 København K (København Municipality)"",149"
" ,"" "",""1357 København K (København Municipality)"",151"
" ,"" "",""1358 København K (København Municipality)"",391"
" ,"" "",""1359 København K (København Municipality)"",222"
" ,"" "",""1360 København K (København Municipality)"",750"
" ,"" "",""1361 København K (København Municipality)"",307"
" ,"" "",""1362 København K (København Municipality)"",382"
" ,"" "",""1363 København K (København Municipality)"",498"
" ,"" "",""1364 København K (København Municipality)"",984"
" ,"" "",""1365 København K (København Municipality)"",199"
" ,"" "",""1366 København K (København Municipality)"",1287"
