pickle_file,gen0_best_score,overall_best_score,difference,best_gen
Cycle_01/01_gen_data.pkl,40.4898188816618,51.17551716023666,10.685698278574861,19
Cycle_02/02_gen_data.pkl,40.42469713406994,50.23420914556731,9.809512011497375,10
Cycle_03/03_gen_data.pkl,42.45668324097806,47.0543772590655,4.597694018087438,17
Cycle_04/04_gen_data.pkl,36.93826312673502,52.539587596517954,15.60132446978293,13
Cycle_05/05_gen_data.pkl,44.36362313551114,54.24414609824929,9.880522962738148,14
Cycle_06/06_gen_data.pkl,42.58721634926303,53.7086684388161,11.121452089553067,11
Cycle_07/07_gen_data.pkl,38.84327751826438,49.44545210549997,10.602174587235588,16
Cycle_08/08_gen_data.pkl,42.20015510417462,50.48946492355771,8.289309819383092,18
Cycle_09/09_gen_data.pkl,41.470233147392435,48.253570593272194,6.783337445879759,7
Cycle_10/10_gen_data.pkl,44.620021612892685,55.12973206752939,10.509710454636704,12
